category,subcategory,name,slug,description,short_description,base_price,variant_names,variant_prices,variant_durations,duration_minutes,max_participants,provider_name,provider_type,is_addon,requires_provider,contraindications,preparation_notes,currency,sort_order
Spa & Wellness,Facials & Skincare,Organic Facial,organic-facial,"Our licensed estheticians are here for your deep cleansing, moisturizing, and rejuvenating needs. We use steamed towels and natural, organic products, not tested on animals and made here in Costa Rica. We begin with a cleanse and exfoliation to rid the skin of dead cells, followed by a variety of facial masks to suit your skin's needs, as well as a deep cleansing or aculift neck and facial massage. Extractions are optional. Complimentary neck massage and scalp massage are included.",Deep cleansing facial with organic Costa Rican botanicals,80.00,,,,60,1,,resort,false,true,,,USD,16
Spa & Wellness,Facials & Skincare,Organic Body Polish,organic-body-polish,"Costa Rican sea salts mixed with essential oils are gently rubbed on the body to stimulate circulation and exfoliate the skin. This treatment concludes with a luxurious and aromatic lavender mint body lotion application, leaving the body soft and silky smooth.",Sea salt exfoliation leaving skin silky smooth and renewed,90.00,,,,60,1,,resort,false,true,,,USD,17
Spa & Wellness,Detox & Cleanse,Detox Body Wrap,detox-body-wrap,"Your therapist begins by lightly buffing your skin with a soft loofah, then a pure Costa Rican healing blue clay mask will be applied to the whole body, followed by a gentle Cocoon-like wrap to enhance the detoxifying process. After a warm shower to remove the clay, a refreshing and nourishing mint and coconut lotion will be applied to improve the appearance and quality of the skin and reduce inflammation.",Blue clay cocoon wrap to draw out toxins and restore your glow,100.00,,,,75,1,,resort,false,true,,Please wear a bikini,USD,18
Spa & Wellness,Add-On,Back Body Polish (Add-On),addon-back-polish,"After cleaning your back with salts scented with essential oils and hot towels, you will receive a refreshing application of soothing coconut lotion.",Salt scrub and coconut lotion for your back,30.00,,,,15,1,,resort,true,true,,,USD,19
Spa & Wellness,Add-On,Hot Oil Head (Add-On),addon-hot-oil-head,"Scented oil heated with the aromas of lavender and tea tree oil will be drizzled throughout the scalp, followed by relaxing massage techniques on the cranium. Nourishing for the hair and scalp and relieves stress and tension headaches.",Warm lavender oil scalp massage for tension relief,30.00,,,,15,1,,resort,true,true,,,USD,20
Spa & Wellness,Add-On,Hands (Add-On),addon-hands,Extra time to release joint and muscle pain in the hands. Perfect for those who work with their hands.,Release tension in tired hands,30.00,,,,15,1,,resort,true,true,,,USD,21
Spa & Wellness,Add-On,Feet (Add-On),addon-feet,Extra time on tired and sore feet. A treat for those who spend their days on their feet.,Extra love for tired feet,30.00,,,,15,1,,resort,true,true,,,USD,22
Spa & Wellness,Add-On,Face (Add-On),addon-face,Extra facial massage to relieve headaches or jaw pain. Uplifting and refreshing.,Soothing facial massage for headaches and jaw tension,30.00,,,,15,1,,resort,true,true,,,USD,23
Spa & Wellness,Add-On,Abdominals (Add-On),addon-abdominals,Gentle massage on your abdomen to ease tension and aid digestion.,Gentle belly massage for stress and digestion,30.00,,,,15,1,,resort,true,true,,,USD,24
Spa & Wellness,Add-On,Cupping (Add-On),addon-cupping,Uses the therapeutic effect of suction pressure to release tension and improve circulation.,Suction therapy to release deep-held tension,30.00,,,,15,1,,resort,true,true,,,USD,25
Longevity & Biohacking,Infrared Sauna,Infrared Sauna Session,infrared-sauna,"We have a 4 person Clearlight Far infrared sauna which produces heat using Carbon/Ceramic heaters, for an efficient, safe, and healthy way to cleanse the body, lose weight and relax. This infrared technology is more effective as heat reaches deeper into the body than conventional saunas. Deep heat penetration allows removal of toxins, alcohol, nicotine and metals. It helps in curing chronic fatigue, promotes muscle growth, raises growth hormones level, and reduces cellulite.",Far infrared deep heat for detox and cellular renewal,0.00,,,,30,4,,resort,false,false,,Free for guests. Bring a towel.,USD,1
Longevity & Biohacking,Cold Therapy,Ice Bath Cold Plunge,cold-plunge,"One person ice chest style cold plunge. Research shows the health benefits of brief cold therapy, including muscle recovery, enhanced circulation, reduced inflammation, lymphatic efficiency, enhanced immune function, stress resilience and elevating mood. The goal is to build up to at least 2 minutes in the cold water and it gets easier each time. It feels incredibly invigorating!",Brief cold immersion for recovery and invigorating energy,0.00,,,,10,1,,resort,false,false,,Free for guests. Build up to 2 minutes. Have towel ready.,USD,2
Longevity & Biohacking,Compression,NormaTec Compression Boots,normatec-compression,Sequential pulse compression for faster muscle recovery and reduced inflammation after activity or travel.,Recovery compression for muscles and circulation,45.00,30 min|60 min,45.00|75.00,30|60,,1,,resort,false,false,Deep vein thrombosis or acute inflammation,Wear comfortable pants or shorts,USD,3
Longevity & Biohacking,Light Therapy,Red Light Therapy Panel,red-light-therapy,Full-body red and near-infrared light for cellular repair and collagen production. Promotes skin health and reduces inflammation at the cellular level.,LED light therapy for cellular healing and skin vitality,40.00,15 min|30 min,30.00|40.00,15|30,,1,,resort,false,false,Photosensitive medications or conditions,Remove jewelry. Clean skin preferred.,USD,4
Longevity & Biohacking,Frequency Therapy,Rife Frequency Session,rife-frequency-session,Targeted frequency therapy using Rife technology for wellness support and energetic balancing.,Frequency-based energetic wellness support,60.00,30 min|60 min,45.00|60.00,30|60,,1,,resort,false,false,Pacemaker or electronic implants,,USD,5
Longevity & Biohacking,Oxygen/Hyperbaric,Oxygen Bar Session,oxygen-bar-session,Concentrated oxygen with aromatherapy for energy and mental clarity. A refreshing boost between activities.,Concentrated oxygen with aromatherapy for a clarity boost,30.00,15 min|30 min,20.00|30.00,15|30,,2,,resort,false,false,,,USD,6
Excursions & Tours,Nature & Hiking,Remote Waterfall Hike (Florida Waterfall),florida-waterfall-hike,"In addition to the famous Montezuma Falls right next to our facility, we visit another impressive waterfall twenty minutes from Anamaya. This amazing waterfall is unmarked and rarely visited by tourists. It consists of a long series of pools that drop one into the other, and one large pool with a rope swing. Known as the Florida Waterfall, it's quite a bit easier to walk to for people who aren't able to hike all the way down to Montezuma Falls.",A hidden jungle waterfall with cascading pools and a rope swing,35.00,,,,180,10,,person,false,true,Moderate fitness required,Wear hiking shoes. Bring swimwear and water.,USD,1
Excursions & Tours,Horseback Riding,Horseback Riding,horseback-riding-beach,"Montezuma and Costa Rica are famous for their horse culture. We will put you on horseback to ride down the beach and visit the remote and undeveloped Playa Grande, Playa Cocolito, and El Chorro waterfall that pours off a cliff into the sea. Another great horseback adventure visits the Florida Waterfall. They're two very different trips, each spectacular in its own way.",Ride horses along pristine beaches to hidden waterfalls,40.00,,,,120,8,,person,false,true,Weight limit applies,Wear long pants and closed shoes,USD,2
Excursions & Tours,Adventure,Canopy Zipline Tour,canopy-zipline-tour,"Montezuma's canopy tour zips right past Anamaya on a series of several steel cables. If you're into adrenaline and action, this is an activity you'll love. Perfectly safe, you will find yourself zooming high above the treetops and river below at high speeds, experiencing life as only birds and arboreal creatures usually do. The tour also includes a stop at the waterfall itself, where you'll be given time to swim.",Soar above the jungle canopy on steel cables at thrilling speeds,40.00,,,,120,8,,person,false,true,,Wear closed-toe shoes. No loose items.,USD,3
Excursions & Tours,Water Activities,Tortuga Island Adventure,tortuga-island-adventure,"Fishing, boating, scuba, and snorkeling are all staples of the Montezuma experience. We charter a local boat to provide fun activities in the Costa Rican waters. You may see whales, dolphins, or a sea turtle. Our chef will cook any fish you're able to catch. There's even a small shark or two sleeping in a cave at the snorkeling spot.",Boat trip with snorkeling and fishing — dolphins and sea life await,50.00,,,,360,12,,person,false,true,Must be comfortable in open water,Bring sunscreen and towel. Lunch included.,USD,4
Excursions & Tours,Beach,Playa Hermosa Beach Excursion,playa-hermosa-excursion,"Playa Hermosa simply means beautiful beach in Spanish, and it's the most gorgeous one in the area. This is a broad, flat, white sand beach with perfect waves and a point break surf spot too. The beach is undeveloped and is picture-perfect with its leaning palms and beach almond trees. Despite its memorable beauty, Playa Hermosa is relatively uncrowded. Many guests love to take photos there at sunset with their reflection in the wet sand.",A pristine white sand beach with perfect sunset photo opportunities,25.00,,,,240,10,,person,false,false,,Bring camera and swimwear. Great for sunset photos.,USD,5
Excursions & Tours,Surfing,Beginner Surf Lesson,beginner-surf-lesson,Learn to catch your first waves with certified local surf instructors on Montezuma's beginner-friendly breaks.,Catch your first wave with expert local guides,85.00,,,,120,4,,person,false,true,,Bring sunscreen and swimwear. Board and rash guard provided.,USD,6
Yoga & Meditation,Vinyasa,Morning Vinyasa Flow,morning-vinyasa-flow,Dynamic sunrise yoga linking breath and movement on the jungle deck overlooking the Pacific Ocean. Start your day feeling energized and connected.,Energizing sunrise flow on the ocean-view yoga deck,0.00,,,,75,20,,resort,false,true,,Included in retreat packages. Bring water.,USD,1
Yoga & Meditation,Yin & Restorative,Sunset Yin Yoga,sunset-yin-yoga,Slow deep stretching as the sun sets over the Pacific — deeply calming and restorative. The perfect way to close your day.,Gentle evening stretches as the sun melts into the ocean,0.00,,,,60,20,,resort,false,true,,Props provided. Wear comfortable clothing.,USD,2
Yoga & Meditation,Meditation,Guided Morning Meditation,guided-morning-meditation,Guided meditation focusing on breath awareness and visualization. Find stillness before the day begins.,Start your day with stillness and clarity,0.00,,,,30,20,,resort,false,true,,,USD,3
Yoga & Meditation,Breathwork,Pranayama & Breathwork,pranayama-breathwork,Structured breathing techniques for energy and mental clarity. Learn tools you can take home for daily practice.,Breath mastery for energy and lasting calm,0.00,,,,45,20,,resort,false,true,Not recommended for severe anxiety without prior consultation,,USD,4
Yoga & Meditation,Private Sessions,Private Yoga Session,private-yoga-session,One-on-one customized yoga session with a certified instructor. Tailored to your goals and body.,Personalized private instruction tailored to your journey,95.00,60 min|90 min,95.00|130.00,60|90,,2,,resort,false,true,,Share your goals and any injuries beforehand,USD,5
Classes & Workshops,Cooking Class,Costa Rican Cooking Class,costa-rican-cooking-class,Learn to prepare traditional Costa Rican dishes using local ingredients. Take the flavors of paradise home with you.,Cook authentic Tico cuisine with local ingredients,65.00,,,,120,8,,resort,false,true,,Inform us of allergies in advance,USD,1
Classes & Workshops,Salsa/Dance Class,Salsa Dance Lesson,salsa-dance-lesson,Fun group salsa class — no partner or experience needed. Just bring your smile and let the rhythm move you.,Learn to salsa — no experience needed,30.00,,,,60,16,,person,false,false,,,USD,2
Classes & Workshops,Art & Craft Workshop,Tropical Watercolor Painting,tropical-watercolor-painting,Paint the jungle views in watercolor with a local artist. All materials provided. Take home your own piece of paradise.,Paint paradise and take it home with you,45.00,,,,120,10,,person,false,true,,All materials provided,USD,3
Classes & Workshops,Music/Drumming Circle,Drum Circle,drum-circle,Community rhythm session with hand drums and percussion instruments. No experience needed — just feel the beat.,Join the rhythm and let go,25.00,,,,60,20,,person,false,false,,Drums provided. Bring your own if preferred.,USD,4
Classes & Workshops,Herbal Medicine,Herbal Medicine Workshop,herbal-medicine-workshop,Learn about local medicinal plants and make your own herbal remedies to take home.,Discover the jungle pharmacy and make your own remedies,55.00,,,,90,10,,person,false,true,,Wear clothes that can get stained,USD,5
Certifications & Courses,,Scuba Certification (PADI Open Water),scuba-padi-open-water,"Full PADI Open Water Diver certification — classroom + pool + 4 open water dives over 3-4 days. Explore Costa Rica's underwater world with confidence.",Get your PADI card and explore the deep,650.00,,,,,,6,,person,false,true,Must be able to swim 200m and tread water 10 min,No flying 24 hours after diving. Medical questionnaire required.,USD,1
Certifications & Courses,,Mermaid Course,mermaid-course,Learn to swim gracefully with a monofin. Includes safety training and underwater photography session.,Swim like a mermaid — includes underwater photos,180.00,,,,180,4,,person,false,true,Must be a confident swimmer,Swimwear required. Monofin provided.,USD,2
Certifications & Courses,,Freediving Introduction,freediving-intro,Breath-hold diving fundamentals — static apnea and dynamic pool training. Discover the freedom of diving on a single breath.,Discover the freedom of diving on a single breath,220.00,,,,240,6,,person,false,true,Must be comfortable in deep water,No heavy meals 3 hours before,USD,3
Meal Plans,Standard,Standard Meal Plan,meal-plan-standard,"Three gourmet meals daily featuring fresh local ingredients — balanced nutrition with creative variety. Organic, nourishing, and delicious.",Full board balanced meals — fresh and organic daily,0.00,,,,,1,,resort,false,false,,Included in retreat packages,USD,1
Meal Plans,Vegan,Vegan Meal Plan,meal-plan-vegan,"Three fully plant-based meals daily — creative tropical vegan cuisine using fresh Costa Rican produce.",Full board plant-based meals — vibrant and satisfying,0.00,,,,,1,,resort,false,false,,Included in retreat packages. Notify kitchen of additional allergies.,USD,2
Meal Plans,High Protein,High Protein Meal Plan,meal-plan-high-protein,Three protein-focused meals daily — ideal for active guests and fitness retreats. Extra portions and protein-rich options.,Full board high-protein meals for active bodies,150.00,,,,,1,,resort,false,false,,Additional charge above standard plan,USD,3
Meal Plans,Keto,Keto Meal Plan,meal-plan-keto,"Three low-carb high-fat meals daily — strict keto-compliant menu designed for sustained energy and clarity.",Full board ketogenic meals for metabolic wellness,250.00,,,,,1,,resort,false,false,,Requires 48-hour advance notice. Additional charge above standard plan.,USD,4
Cookbook,,Anamaya Digital Cookbook Membership,anamaya-cookbook,"Access Anamaya's most popular recipes: breakfast, lunch, dinner and more through your own online Cookbook Membership. Includes exclusive health and wellness tools, immune boosting videos, and cooking demonstration videos. Have access to your favorite Anamaya meals at home!",All our beloved recipes — make Anamaya magic in your own kitchen,57.00,,,,,1,,resort,false,false,,Annual subscription. Digital access.,USD,1
Food & Beverage,Cacao Ceremony,Sacred Cacao Ceremony,sacred-cacao-ceremony,Traditional ceremonial-grade cacao ritual with intention setting and live music. A heart-opening community experience.,Heart-opening cacao ritual with music and intention,35.00,,,,90,20,,person,false,true,Not recommended with SSRI medications,Light or no food 2 hours before,USD,1
Food & Beverage,Private Chef Experience,Private Chef Dinner,private-chef-dinner,Custom multi-course dinner prepared by our head chef for your group. An exclusive dining experience under the stars.,Exclusive multi-course dinner crafted just for you,250.00,4 guests|6 guests|8 guests,250.00|350.00|450.00,,,8,,resort,false,true,,Book 48 hours in advance. Share dietary needs.,USD,2
Food & Beverage,Bar & Drinks,Fresh Smoothie,fresh-smoothie,Fresh tropical fruit smoothies and superfood blends made to order.,Tropical fruit and superfood blends made fresh,8.00,,,,,1,,resort,false,false,,,USD,3
Photography & Media,,Professional Photo Session,professional-photo-session,"Professional photography session at the resort's most scenic locations — yoga deck, infinity pool, jungle paths, and ocean views.",Capture your transformation in paradise,200.00,30 min|60 min|Half day,150.00|200.00|400.00,30|60|240,,2,,person,false,true,,Wear what makes you feel radiant,USD,1
Photography & Media,,Drone Photography Package,drone-photography-package,Aerial drone photos and video of you at the resort and surrounding coastline. Stunning perspectives you can't get any other way.,Stunning aerial views of your time in paradise,175.00,,,,60,2,,person,false,true,Weather dependent,,USD,2
Photography & Media,,Social Media Content Package,social-media-content-package,"Full day of content creation — photo + video optimized for Instagram and TikTok. Leave with ready-to-post content.",Leave with scroll-stopping content for your socials,350.00,,,,480,1,,person,false,true,,Share your social handles and style preferences beforehand,USD,3
Gift Shop & Retail,Apparel & Merch,Anamaya T-Shirt,anamaya-tshirt,Soft organic cotton tee with the Anamaya logo. A piece of paradise to wear home.,Soft organic cotton souvenir tee,32.00,S|M|L|XL,32.00|32.00|32.00|32.00,,,1,,resort,false,false,,,USD,1
Gift Shop & Retail,Yoga Mats & Props,Premium Yoga Mat,premium-yoga-mat,Eco-friendly natural rubber yoga mat — perfect travel companion for your continuing practice.,Take your practice home on sustainable rubber,65.00,,,,,1,,resort,false,false,,,USD,2
Gift Shop & Retail,Crystals & Spiritual Items,Crystal Healing Set,crystal-healing-set,Curated set of healing crystals — amethyst + rose quartz + clear quartz. Each chosen for its unique energy.,Handpicked healing crystal trio,45.00,,,,,1,,resort,false,false,,,USD,3
Gift Shop & Retail,Skincare & Oils,Organic Coconut Oil,organic-coconut-oil,Cold-pressed virgin coconut oil sourced locally in Costa Rica. Multi-use for skin and cooking.,Pure local cold-pressed coconut oil,18.00,,,,,1,,resort,false,false,,,USD,4
Gift Shop & Retail,Books,Yoga Anatomy Book,yoga-anatomy-book,Illustrated guide to yoga poses and their anatomical benefits. Deepen your understanding of the body in motion.,Deepen your practice knowledge,28.00,,,,,1,,resort,false,false,,,USD,5
Gift Certificates,,$50 Gift Certificate,gift-cert-50,Redeemable for any product or service at the resort. Give someone you love the gift of wellness and renewal.,Give the gift of wellness — $50,50.00,,,,,1,,resort,false,false,,,USD,1
Gift Certificates,,$100 Gift Certificate,gift-cert-100,Redeemable for any product or service at the resort. Give someone you love the gift of wellness and renewal.,Give the gift of wellness — $100,100.00,,,,,1,,resort,false,false,,,USD,2
Gift Certificates,,$250 Gift Certificate,gift-cert-250,Redeemable for any product or service at the resort. Give someone you love the gift of wellness and renewal.,Give the gift of wellness — $250,250.00,,,,,1,,resort,false,false,,,USD,3
Gift Certificates,,Custom Gift Certificate,gift-cert-custom,Custom amount gift certificate — specify your amount. The perfect gift for the person who has everything except peace.,Custom amount — you choose the value,0.00,,,,,1,,resort,false,false,,,USD,4
Transfers & Transport,Airport Shuttle,Shared Airport Shuttle (SJO),shuttle-sjo-shared,Shared shuttle from San José airport (SJO) to the Montezuma area. Meet fellow travelers on the way.,Shared ride from SJO to paradise,55.00,,,,300,8,,person,false,false,,Flight number required 48 hours in advance,USD,1
Transfers & Transport,Private Car,Private Airport Transfer (SJO),transfer-sjo-private,Private vehicle from San José airport direct to the resort. Comfortable door-to-door service.,Door-to-door private comfort from SJO,180.00,,,,300,4,,person,false,false,,Flight details required 48 hours in advance,USD,2
Transfers & Transport,Taxi Boat,Taxi Boat (Jacó to Montezuma),taxi-boat-jaco,Fast boat crossing from Jacó/Herradura to Montezuma — skip the long drive around the peninsula.,Scenic fast boat — skip the drive,45.00,,,,60,12,,person,false,false,Not for severe motion sickness,Arrives at Montezuma dock,USD,3
Transfers & Transport,Local Flight,Local Flight (SJO to Tambor),flight-sjo-tambor,"20-minute scenic flight from San José to Tambor airstrip. Breathtaking aerial views of the coastline.",Quick scenic flight over the coast,120.00,,,,20,12,,person,false,false,,Luggage limit 25 lbs. Book early — limited seats.,USD,4
Packages & Bundles,Retreat Package,7-Night Yoga Retreat Package,yoga-retreat-7night,"Full 7-night package — accommodation + daily yoga + three organic meals + one spa treatment. Everything you need to reset.",Complete yoga immersion — all-inclusive wellness week,2200.00,,,,,1,,resort,false,false,,Select room type at booking,USD,1
Packages & Bundles,Honeymoon Package,Honeymoon Escape,honeymoon-escape,5-night romantic package — private room + couples massage + sunset dinner + professional photo session.,Romance wrapped in jungle magic,3500.00,,,,,2,,resort,false,false,,Must book private room category,USD,2
Packages & Bundles,Wellness Week,Wellness Reset Week,wellness-reset-week,"7-night wellness package — daily yoga + 3 spa treatments + longevity sessions + premium meal plan. A total mind-body reset.",Total mind-body reset — arrive exhausted; leave renewed,2800.00,,,,,1,,resort,false,false,,Includes wellness consultation on arrival,USD,3
Events & Ceremonies,Sound Bath,Crystal Sound Bath,crystal-sound-bath,"Immersive sound healing with crystal singing bowls and gongs. Let the vibrations wash through you and dissolve whatever you're holding.",Deep vibrational healing that dissolves tension,30.00,,,,60,20,,person,false,true,,Bring a blanket and pillow. Wear layers.,USD,1
Events & Ceremonies,Fire Ceremony,Full Moon Fire Ceremony,full-moon-fire-ceremony,Sacred fire circle with intention setting under the full moon. Release what no longer serves you and welcome what's next.,Release and renew under the full moon,20.00,,,,90,30,,person,false,false,,Check calendar for full moon dates,USD,2
Events & Ceremonies,Wedding/Vow Renewal,Jungle Wedding Ceremony,jungle-wedding-ceremony,"Intimate wedding or vow renewal ceremony in the jungle with ocean views. Say yes in the most magical setting imaginable.",Say I do where jungle meets ocean,1500.00,Ceremony only|Ceremony + Reception,1500.00|3500.00,,,30,,resort,false,true,,Book 3+ months in advance. Planning consultation included.,USD,3
Events & Ceremonies,Private Event Rental,Private Event Space Rental,event-space-rental,Rent the yoga deck or event pavilion for your private gathering. Surrounded by nature with ocean views.,Exclusive venue hire in paradise,500.00,Half day|Full day,500.00|900.00,,,50,,resort,false,false,,Catering available separately,USD,4
Rental,Surf Board,Surfboard Rental,surfboard-rental,Quality surfboard rental — shortboard or longboard available. Catch waves at your own pace.,Grab a board and chase the waves,20.00,Half day|Full day|Week,20.00|30.00|150.00,,,1,,resort,false,false,,Deposit required. Damage policy applies.,USD,1
